ID;Nome;Artista;Ano;Link;Tom;
804;Capri C'est Fini;Hervè Villard;1966;https://www.cifraclub.com.br/herve-vilard/capri-c-est-fini/;
805;Esqueça;Roberto Carlos;1966;https://www.cifraclub.com.br/roberto-carlos/esqueca-/;
814;Coruja;Deny & Dino;1966;https://www.cifraclub.com.br/deny-dino/coruja/;
815;Um Grande Amor;Jerry Adriani;1966;https://www.cifraclub.com.br/jerry-adriani/um-grande-amor-i-knew-righy-away/;
818;(I Can't Get No) Satisfaction;Rolling Stones;1966;https://www.cifraclub.com.br/the-rolling-stones/satisfaction/;
820;Pobre Menina;Leno & Lilian;1966;https://www.cifraclub.com.br/leno-e-lilian/pobre-menina/;
821;California Dreamin';The Mamas & The Papas;1966;https://www.cifraclub.com.br/the-mamas-and-the-papas/california-dreaming/;
828;Yesterday;Matt Monro;1966;https://www.cifraclub.com.br/matt-monro/yesterday/;
830;Meu Primeiro Amor;Renato & Seus Blue Caps;1966;https://www.cifraclub.com.br/renato-e-seus-bluecaps/meu-primeiro-amor/;
835;Monday Monday;The Mamas & The Papas;1966;https://www.cifraclub.com.br/the-mamas-and-the-papas/monday-monday/;
836;The Sounds Of Silence;Simon & Garfunkel;1966;https://www.cifraclub.com.br/simon-e-garfunkel/the-sound-of-silence/;
841;Mamãe;Agnaldo Timóteo;1966;https://www.cifraclub.com.br/agnaldo-timoteo/mamae/;
843;Devolva-me;Leno & Lilian;1966;https://www.cifraclub.com.br/leno-e-lilian/devolva-me/;
846;Bang Bang (My Baby Shot Me Down);Sonny & Cher;1966;https://www.cifraclub.com.br/cher/bang-bang-my-baby-shot-me-down/;
848;Mexericos da Candinha;Roberto Carlos;1966;https://www.cifraclub.com.br/roberto-carlos/mexericos-da-candinha/;
849;Noite dos Mascarados;Chico Buarque, Odete Lara & MPB-4;1966;https://www.cifraclub.com.br/chico-buarque/noite-dos-mascarados/;
861;Il Silenzio;Nino Rosso;1966;https://www.cifraclub.com.br/nini-rosso/il-silenzio/;
868;Juramento de Playboy;Carlos Gonzaga;1966;https://www.cifraclub.com.br/carlos-gonzaga/juramento-de-play-boy/;
877;Nossa Canção;Roberto Carlos;1966;https://www.cifraclub.com.br/roberto-carlos/nossa-cancao/;
881;Les Cornichons;Nino Ferrer;1966;https://www.cifraclub.com.br/nino-ferrer/les-cornichons/;
882;Michelle;Golden Boys;1966;https://www.cifraclub.com.br/golden-boys/michelle/;
883;Não Quero Ver Você Triste;Roberto Carlos;1966;https://www.cifraclub.com.br/roberto-carlos/nao-quero-ver-voce-triste/;
886;I Am A Rock;Simon & Garfunkel;1966;https://www.cifraclub.com.br/simon-e-garfunkel/i-am-rock/;
890;Bang Bang (My Baby Shot Me Down);Maritza Fabiani;1966;https://www.cifraclub.com.br/maritza-fabiani/bang-bang/;
910;Somethin' Stupid;Nancy Sinatra & Frank Sinatra;1967;https://www.cifraclub.com.br/frank-sinatra/something-stupid/;
917;There's A Kind Of Hush;Herman's Hermitz;1967;https://www.cifraclub.com.br/hermans-hermits/theres-kind-of-hush/;
920;Coisinha Estúpida;George Freedman;1967;https://www.cifraclub.com.br/george-freedman/coisinha-estupida/;
923;Georgy Girl;Seekers;1967;https://www.cifraclub.com.br/the-seekers/georgy-girl/;
924;Poor Side Of Town;Johnny Rivers;1967;https://www.cifraclub.com.br/johnny-rivers/poor-side-of-town/;
925;O Caderninho;Erasmo Carlos;1967;https://www.cifraclub.com.br/erasmo-carlos/o-caderninho/;
929;No Milk Today;Herman's Hermits;1967;https://www.cifraclub.com.br/hermans-hermits/no-milk-today/;
930;Alegria, Alegria;Caetano Veloso;1967;https://www.cifraclub.com.br/caetano-veloso/alegria-alegria/;
931;You Only Live Twice;Nancy Sinatra;1967;https://www.cifraclub.com.br/nancy-sinatra/you-only-live-twice/;
932;All You Need Is Love;Beatles;1967;https://www.cifraclub.com.br/the-beatles/all-you-need-is-love/;
933;Pare o Casamento;Wanderléa;1967;https://www.cifraclub.com.br/wanderlea/pare-casamento/;
934;I'm A Believer;Monkees;1967;https://www.cifraclub.com.br/monkees/im-believer/;
935;Domingo no Parque;Gilberto Gil;1967;https://www.cifraclub.com.br/gilberto-gil/domingo-no-parque/;
936;Can't Take My Eyes Off You;Frankie Valli;1967;https://www.cifraclub.com.br/frank-valli/cant-take-my-eyes-off-you/;
939;Last Train To Clarksville;Monkees;1967;https://www.cifraclub.com.br/monkees/last-train-to-clarksville/;
940;Sunny;Chris Montez;1967;https://www.cifraclub.com.br/chris-montez/sunny/;
941;Triste Madrugada;Jair Rodrigues;1967;https://www.cifraclub.com.br/jair-rodrigues/triste-madrugada/;
942;Doce de Coco;Wanderley Cardoso;1967;https://www.cifraclub.com.br/wanderley-cardoso/doce-de-coco/;
944;Maria, Carnaval e Cinzas;Roberto Carlos;1967;https://www.cifraclub.com.br/roberto-carlos/maria-carnaval-e-cinzas/;
945;Roda Viva;Chico Buarque & MPB-4;1967;https://www.cifraclub.com.br/chico-buarque/roda-viva/;
946;Winchester Cathedral;New Vaudeville Band;1967;https://www.cifraclub.com.br/new-vaudeville-band/winchester-cathedral/;
947;A Garota do Roberto;Waldirene;1967;https://www.cifraclub.com.br/waldirene/garota-do-roberto/;
948;Não Presto Mas Eu Te Amo;Demétrius;1967;https://www.cifraclub.com.br/demetrius/nao-presto-mas-te-amo/;
949;Western Union;Five Americans;1967;https://www.cifraclub.com.br/five-americans/western-union/;
950;Anna (Go To Him);Beatles;1967;https://www.cifraclub.com.br/the-beatles/anna-go-to-him/;
951;Guantanamera;The Sandpipers;1967;https://www.cifraclub.com.br/the-sandpipers/guantanamera/;
953;Máscara Negra;Zé Kéti;1967;https://www.cifraclub.com.br/ze-keti/mascara-negra/;
963;A Little Bit Me, A Little Bit You;The Monkees;1967;https://www.cifraclub.com.br/monkees/a-little-bit-me-a-little-bit-you/;
964;C'era Um Ragazzo Che Come Me Amava I Beatles...;Gianni Morandi;1967;https://www.cifraclub.com.br/gianni-morandi/cera-un-ragazzo-che-come-me/;
969;Coisinha Estúpida;Leno & Lilian;1967;https://www.cifraclub.com.br/leno-e-lilian/coisinha-estupida/;
984;Só Eu e Você;Carlos Gonzaga;1967;https://www.cifraclub.com.br/carlos-gonzaga/so-eu-e-voce/;
986;A Groovy Kind Of Love;The Mindbenders;1967;https://www.cifraclub.com.br/mindbenders/a-groovy-kind-of-love-2/;
988;Eu Só Quero Ver;Deny & Dino;1967;https://www.cifraclub.com.br/deny-dino/eu-so-quero-ver/;
989;Ponteio;Edu Lobo & Marilia Medalha;1967;https://www.cifraclub.com.br/edu-lobo/ponteio/;
996;Born Free;Andy Williams;1967;https://www.cifraclub.com.br/andy-williams/born-free/;
998;Reach Out (I'll Be There);The Four Tops;1967;https://www.cifraclub.com.br/four-tops/reach-out-ill-be-there/;
1002;Viola Enluarada;Marcos Valle & Milton Nascimento;1968;https://www.cifraclub.com.br/marcos-valle/viola-enluarada/;
1003;Baby;Gal Costa & Caetano Veloso;1968;https://www.cifraclub.com.br/gal-costa/baby/;
1013;San Francisco (Be Sure To Wear Flowers In Your Hair);Scott McKenzie;1968;https://www.cifraclub.com.br/mckenzie-scott/san-francisco/;
1014;Mrs. Robinson;Simon & Garfunkel;1968;https://www.cifraclub.com.br/simon-e-garfunkel/mrs-robinson-1662/;
1015;A Chuva Que Cai;Os Caçulas;1968;https://www.cifraclub.com.br/caculas/a-chuva-que-cai/;
1018;Do You Want To Dance;Johnny Rivers;1968;https://www.cifraclub.com.br/johnny-rivers/do-you-wanna-dance/;
1024;La Dernière Valse;Mirelle Mathieu;1968;https://www.cifraclub.com.br/mireille-mathieu/la-derniere-valse/;
1025;Minha Primeira Desilusão;Silvinha;1968;https://www.cifraclub.com.br/silvinha-araujo/minha-primeira-desilusao/;
1031;(Theme From) Valley Of The Dolls;Dionne Warwick;1968;https://www.cifraclub.com.br/dionne-warwick/theme-from-valley-of-the-dolls/;
