ID;Nome;Artista;Ano
1;Little Darling;Lana Bittencourt;1958
2;Cabecinha no Ombro;Alcides Gerardi;1958
3;Sereno;Paulo Molin;1958
4;Ouça;Maysa;1958
5;Nel Blu Dipinto Di Blu (Volare);Domenico Modugno;1958
6;Fascinação;Gilberto Alves;1958
7;Abismo;Anísio Silva;1958
8;Escultura;Nelson Gonçalves;1958
9;Love Me Forever;The Playings;1958
10;Patricia;Emilinha Borba;1958
11;Fanzoca do Rádio;Carequinha;1958
12;Cachito;Nat King Cole;1958
13;Alone;Lana Bittencourt;1958
14;O Gondoleiro;Neuza Maria;1958
15;Covarde;Fernando Barreto;1958
16;Diana;Paul Anka;1958
17;Se Todos Fossem Iguais a Você;Agostinho dos Santos;1958
18;Castigo;Roberto Luna;1958
19;Moda da Pinga (Marvada Pinga);Inezita Barroso;1958
20;Babalu;Angela Maria;1958
21;A Taça do Mundo é Nossa;Coral do Caneco;1958
22;Balada Triste;Agostinho dos Santos;1958
23;O Apito no Samba;Marlene;1958
24;Linda;Cauby Peixoto;1958
25;Around The World;Victor Young;1958
26;Diana;Carlos Gonzaga;1958
27;Eu Não Existo Sem Você;Maysa;1958
28;It's Not For Me To Say;Johnny Mathis;1958
29;Patricia;Perez Prado;1958
30;Interesseira;Anísio Silva;1958
31;Marcelino Pão e Vinho;Wilma Bentivegna;1958
32;Little Darlin';The Diamonds;1958
33;When;Kalin Twins;1958
34;Chega de Saudade;João Gilberto;1958
35;Viva o Meu Samba;Silvio Caldas;1958
36;Marcha da Fofoca;César de Alencar;1958
37;Amarras;Oscar Ferreira;1958
38;An Affair To Remember;Vic Damone;1958
39;Creio em Ti;Francisco Egydio;1958
40;Apaixonada;Angela Maria;1958
41;Tequila;The Champs;1958
42;Nel Blu Dipinto Di Blu (Volare);Leny Eversong;1958
43;Matilda;Harry Belafonte;1958
44;Arrependida;Morgana;1958
45;Till;Percy Faith;1958
46;Balada dos Anjos;Gordon Jenkins;1958
47;Abandono Cruel;Carlos Augusto;1958
48;Pensando em Ti;Nelson Gonçalves;1958
49;Eu Não Existo Sem Você;Carlos José;1958
50;Long Tall Sally;Little Richard;1958
51;Calipso Italiano;Renato de Oliveira;1958
52;Who's Sorry Now;Connie Francis;1958
53;Balada Triste;Angela Maria;1958
54;Cansei de Ilusões;Isaura Garcia;1958
55;Bambina;Francisco Carlos;1958
56;With All My Heart;Lana Bittencourt;1958
57;All The Way;Frank Sinatra;1958
58;Chove Lá Fora;The Platters;1958
59;Conselho (Summertime);Lana Bittencourt;1958
60;Bernardine;Pat Boone;1958
61;Desolação;Agostinho dos Santos;1958
62;Castigo;Nora Ney;1958
63;Estrada de Sol;Agostinho dos Santos;1958
64;Cervezza;Silvio Mazzuca;1958
65;Bom Que Dói;Marlene;1958
66;Banana Split;The Playings;1958
67;Fascination;Jane Morgan;1958
68;Foi a Noite;Isaura Garcia;1958
69;Cu-Cu-Ru-Cu-Cu Paloma;Duo Guarujá;1958
70;Tequila;Silvio Mazzuca;1958
71;Baiano Burro Nasce Morto;Gordurinha;1958
72;Fracasso;Dorinha Freitas;1958
73;Garufa;João Dias;1958
74;Castigo;Dolores Duran;1958
75;Casinha Pequenina;Cascatinha & Inhana;1958
76;Incerteza;Ivete Siqueira;1958
77;Cacho de Banana;Arrelia & Pimentinha;1958
78;Serenata do Adeus;Morgana;1958
79;Crazy Love;Paul Anka;1958
80;Cabeçinha no Ombro;Duo Guarujá;1958
81;Baião da Serra Grande;Palmeira & Biá;1958
82;Lampião de Gás;Inezita Barroso;1958
83;Forgive Me;Tony Campello;1958
84;Caruaru;Dalva de Oliveira;1958
85;Le Gondolier;Franck Pourcel;1958
86;Meu Anjo Especial;Nilza Miranda;1958
87;Dobradinho;Luiz Bonfá;1958
88;Frô do Ipê;Cascatinha & Inhana;1958
89;Mamãe Eu Levei Bomba;Dircinha Batista;1958
90;Peanuts;Little Joe;1958
91;Prece;Agnaldo Rayol;1958
92;Azul Pintado de Azulo;Roberto Audi & Leny Eversong;1958
93;Noite Cheia de Estrelas;Poly & Seu Conjunto;1958
94;Melodia de Amor;Onilda Figueiredo;1958
95;Mambo Rock;Bill Haley & His Comets;1958
96;Prece ao Vento;Gilvan Chaves;1958
97;Guarde a Sandália Dela;Germano Mathias;1958
98;Garoa;Albertinho Fortuna;1958
99;Nova Flor (O Homem Não Deve Chorar);Palmeira & Biá;1958
100;Torero;Hector Lagna Fietta;1958
101;Estúpido Cupido;Celly Campelo;1959
102;Vai, Mas Vai Mesmo;Nora Ney;1959
103;Smoke Gets In Your Eyes;The Platters;1959
104;Quem é?;Osmar Navarro;1959
105;A Felicidade;Agostinho dos Santos;1959
106;Laçinhos Cor de Rosa;Celly Campello;1959
107;Deusa do Asfalto;Nelson Gonçalves;1959
108;Perfume de Gardenia;Bienvenido Granda;1959
109;Dindi;Sylvia Telles;1959
110;Não Diga o Nome;Anísio Silva;1959
111;Ave Maria Lola;Carlos Galhardo;1959
112;Ciclone;Carlos Nobre;1959
113;Madureira Chorou;Germano Mathias;1959
114;Na Cadência do Samba;Elizeth Cardoso;1959
115;Tu Somente Tu;Anísio Silva;1959
116;Recado;Maysa;1959
117;I Need Your Love Tonight;Elvis Presley;1959
118;Por Uma Noite Ainda;Orlando Dias;1959
119;Petite Fleur;Bob Crosby Orchestra;1959
120;Mack The Knife;Bobby Darin;1959
121;Meu Segredo;Luis Claudio;1959
122;Siete Notas de Amor;Trio Los Panchos;1959
123;Comme Prima;Trigêmeos Vocalistas;1959
124;Piston de Gafieira;Silvio Caldas;1959
125;Quero Beijar-te as Mãos;Anísio Silva;1959
126;Roseli;Sid Grey Orchestra;1959
127;Oh Carol;Neil Sedaka;1959
128;Eu Sei Que Vou Te Amar;Elza Laranjeira;1959
129;A Certain Smile;Johnny Mathis;1959
130;Se Eu Pudesse;Orlando Dias;1959
131;Personality;Don Taylor;1959
132;Felicidade;Zezé Gonçalves;1959
133;Prece ao Sol;Nelson Gonçalves;1959
134;Fim de Estrada;Carlos Galhardo;1959
135;King Creole;Elvis Presley;1959
136;Meu Coração Canta;Carlos Gonzaga;1959
137;Venus;Frankie Avalon;1959
138;Piove;Angela Maria;1959
139;Sax Cantabili;Silvio Mazzuca;1959
140;Comme Prima;Umberto Marcato;1959
141;Jambalaya;Brenda Lee;1959
142;Brigas, Nunca Mais;Marlene;1959
143;Personality;Lloyd Price;1959
144;Chiclete Com Banana;Jackson do Pandeiro;1959
145;Pombo Correio;Gilberto Alves;1959
146;Hino ao Amor;Wilma Bentivegna;1959
147;Ela Disse-me Assim;Jamelão;1959
148;Revolta;Nelson Gonçalves;1959
149;Donde Estás Mi Vida;Joselito;1959
150;A Teenager In Love;Dion & The Belmonts;1959
151;Ansiedad;Nat King Cole;1959
152;Calypso Italiano;Marlene;1959
153;Chiclete Com Banana;Gordurinha;1959
154;Bom-Dia, Meu Amor;Marlene;1959
155;Dynamite;Brenda Lee;1959
156;Canção da Tristeza;Morgana;1959
157;Madrid;Nat King Cole;1959
158;De Conversa em Conversa;Isaura Garcia;1959
159;Milagre da Volta;João Dias;1959
160;Donna;Ritchie Valens;1959
161;Sem Ninguém Por Mim;Duo Guarujá;1959
162;E Daí?;Isaura Garcia;1959
163;Chove (Piove);Marlene;1959
164;Bim Bom;João Gilberto;1959
165;Fiz a Cama na Varanda;Inezita Barroso;1959
166;Eu Sei Que Vou Te Amar;Osny Silva;1959
167;Frankie;Regiane & The Avalons;1959
168;Este Seu Olhar;Morgana;1959
169;Dá-me Tuas Mãos;Orlando Silva;1959
170;Colcha de Retalhos;Cascatinha & Inhana;1959
171;De Degrau em Degrau;Osny Silva;1959
172;Errei, Erramos;Orlando Silva;1959
173;Manhã de Carnaval;João Gilberto;1959
174;Marcianita;Sergio Murillo;1959
175;Meditação;Isaura Garcia;1959
176;Conselho;Morgana;1959
177;Solidão;Dolores Duran;1959
178;Mágoa;Silvia Telles;1959
179;Margarida;Sonia Dutra;1959
180;Minha Crença;Francisco Egydio;1959
181;My Happiness;Connie Francis;1959
182;Esquina do Pecado;Marlene;1959
183;It's Only Make Believe;Conway Twitty;1959
184;Chantily Lace;Big Bopper;1959
185;Minha Oração (My Prayer);Jairo Aguiar;1959
186;O Vendedor de Caranguejo;Gordurinha;1959
187;Topsy II;Cozy Cole;1959
188;Quem é?;Hebe Camargo;1959
189;Pink Shoe Laces;Dodie Stevens;1959
190;Estrada do Sol;Silvia Telles;1959
191;Tears On My Pillow;Little Anthony & The Imperials;1959
192;Rosalinda;Orlando Silva;1959
193;Isso é Lá Com Santo Antonio;Marlene;1959
194;Regresso;Carlos Nobre;1959
195;China Rock;The Avalons;1959
196;Por Um Beijo de Amor;Francisco Egydio;1959
197;Ô Diacho;Dupla Ouro e Prata;1959
198;Chega de Saudade;Severino Araújo & Orquestra Tabajara;1959
199;Erros de Gramática;Marlene;1959
200;Fim de Caso;Dolores Duran;1959
201;"Theme From ""A Summer Place""";Percy Faith;1960
202;Banho de Lua;Celly Campello;1960
203;A Noite do Meu Bem;Dolores Duran;1960
204;Esmeralda;Carlos José;1960
205;Mulher de Trinta;Miltinho;1960
206;Menina Moça;Tito Madi;1960
207;Marina;Cauby Peixoto;1960
208;Put Your Head On My Shoulder;Paul Anka;1960
209;Alguém Me Disse;Anísio Silva;1960
210;Everybody's Somebody's Fool;Connie Francis;1960
211;Meu Dilema;Nelson Gonçalves;1960
212;Se Acaso Você Chegasse;Elza Soares;1960
213;Me Dá Um Dinheiro Aí;Moacyr Franco;1960
214;The Green Leaves Of Summer;The Brothers Four;1960
215;Estou Pensando em Ti;Anísio Silva;1960
216;La Violetera;Sarita Montiel;1960
217;Negue;Carlos Augusto;1960
218;Serenata Suburbana;Dalva de Andrade;1960
219;O Milagre da Volta;João Dias;1960
220;Puppy Love;Paul Anka;1960
221;Não Tenho Lágrimas;Nat King Cole;1960
222;Longe de Ti;Wilson Miranda;1960
223;O Amor e a Rosa;Elizeth Cardoso;1960
224;Por Quem Sonha Ana Maria;Juca Chaves;1960
225;Cinzas do Passado;Cláudio de Barros;1960
226;Pillow Talk;Doris Day;1960
227;Leva Tudo Contigo;Jorge Goulart;1960
228;Ô Crides;Ronald Golias;1960
229;Ironia;Angela Maria;1960
230;Fechei a Porta;Jamelão;1960
231;Creia;Osmar Navarro;1960
232;Tu és Meu Castigo;Agnaldo Rayol;1960
233;Oração de Amor;Luis Claudio;1960
234;I'm Sorry;Brenda Lee;1960
235;Where Or When;Dion & The Belmonts;1960
236;La Violetera;Angela Maria;1960
237;Chore Comigo;Nelson Gonçalves;1960
238;Um Amor Igual Ao Nosso;Nélson Novais;1960
239;Greenfields;The Brothers Four;1960
240;Não Tenho Namorado;Celly Campello;1960
241;I'll Never Fall In Love Again;Johnnie Ray;1960
242;Presidente Bossa Nova;Juca Chaves;1960
243;Zelão;Sergio Ricardo;1960
244;Marcianita;Sergio Murilo;1960
245;Mimi;Gilberto Alves;1960
246;Mineiro Sabido;Luis Vanderley;1960
247;A Canção dos Seus Olhos;Marisa;1960
248;Ansiedade;Leila Silva;1960
249;Adam and Eve;Paul Anka;1960
250;Cathy's Clown;Everly Brothers;1960
251;Adelita;Franquito;1960
252;Alma de Boêmio;José Orlando;1960
253;Amor Proibido;Carlos Nobre;1960
254;Noite Cheia de Estrelas;Poly e seu conjunto;1960
255;E Daí?;Sonia Dutra;1960
256;Arrependimento;Ellen de Lima;1960
257;Arruma a Trouxa;Zilá Fonseca;1960
258;Billy Boy;Jinny Isle;1960
259;Caixinha, Obrigado;Juca Chaves;1960
260;Canção do Desejo;Angela Maria;1960
261;Leva-me Contigo;Lana Bittencourt;1960
262;Carinho e Amor;Tito Madi;1960
263;Coração de Mãe;Leny Eversong;1960
264;Devolva-me;Anísio Silva;1960
265;Diga Que Me Ama;Sônia Delfino;1960
266;Creio em Ti;Francisco Egydio;1960
267;Dirce;Osny Silva;1960
268;El Vagabundo;Trio Los Panchos;1960
269;Brotinho Sem Juízo;Roberto Carlos;1960
270;I Like Girls;Johnny Restivo;1960
271;Estou Pensando em Ti;Agostinho dos Santos;1960
272;Folhas ao Vento;Osny Silva;1960
273;Hino ao Amor;Morgana;1960
274;História da Minha Vida;Emilinha Borba;1960
275;Bimbobey;Sônia Delfino;1960
276;Espante a Tristeza;Renato & Seus Blue Caps;1960
277;It's Now Or Never;Elvis Presley;1960
278;La Violetera;Dionísio Bernardo;1960
279;Só Em Teus Braços;Silvia Telles;1960
280;Eu Preciso Namorar;Gordurinha;1960
281;Leva-me Contigo;Marisa;1960
282;Lonely Boy;Paul Anka;1960
283;Long Tall Sally;Little Richard;1960
284;Lua Azul;Leo Romano;1960
285;Marina;Leny Eversong;1960
286;Chiclete com Banana;Jackson do Pandeiro;1960
287;Irmã da Saudade;Leila Silva;1960
288;Marina;Rocco Granata;1960
289;O Que Tinha de Ser;Silvia Telles;1960
290;Meditação;Isaura Garcia;1960
291;Leva-me Contigo;Agostinho dos Santos;1960
292;Perdão Para Dois;Leila Silva;1960
293;Minha Serás Eternamente;Orlando Dias;1960
294;Quiero Besar Tu Manos;Gregorio Barrios;1960
295;Morrer Por Ti;Osvaldo Rodrigues;1960
296;Mustafá;Bob Azzam;1960
297;Súplica Cearense;Gordurinha;1960
298;Mais Um Trago;Antonio Martins;1960
299;Nancy;Osny Silva;1960
300;Cacareco é o Maior;Risadinha;1960
301;Palhaçada;Doris Monteiro;1961
302;Blue Moon;The Marcels;1961
303;Bat Masterson;Carlos Gonzaga;1961
304;Faz Me Rir;Edith Veiga;1961
305;Biquini de Bolinha Amarelinha;Ronnie Cord;1961
306;It's Now Or Never;Elvis Presley;1961
307;Surrender;Elvis Presley;1961
308;Negue;Nelson Gonçalves;1961
309;Maringá;Carlos Galhardo;1961
310;Ninguém é de Ninguém;Cauby Peixoto;1961
311;Boato;Elza Soares;1961
312;Solidão;Núbia Lafayette;1961
313;Ansiedad;Nat King Cole;1961
314;Devaneio;Djalma Ferreira;1961
315;The Twist;Chubby Checker;1961
316;Mulata Assanhada;Miltinho;1961
317;Calcutta;Lawrence Welk;1961
318;Look For A Star;Garry Miles;1961
319;Exodus;Ferrante & Teicher;1961
320;Apache;The Jet Blacks;1961
321;La Barca;Trio Cristal;1961
322;O Barquinho;João Gilberto;1961
323;Runaway;Del Shannon;1961
324;My Home Town;Paul Anka;1961
325;Corina, Corina;Demetrius;1961
326;Coração de Luto;Teixeirinha;1961
327;Agora;Alcides Gerardi;1961
328;Perdão Para Dois;Cauby Peixoto;1961
329;Pelo Bem Que Te Quero;Orlando Dias;1961
330;Poema do Adeus;Miltinho;1961
331;Bata Baby;Wilson Miranda;1961
332;Wonderland By Night;Bert Kaempfert;1961
333;Ternura Antiga;Tito Madi;1961
334;Só Vou de Mulher;Os Cariocas;1961
335;Água de Beber;Isaura Garcia;1961
336;Pony Time;Chubby Checker;1961
337;Never On Sunday;Melina Mercouri;1961
338;Michael;The Highwaymen;1961
339;G.I. Blues;Elvis Presley;1961
340;Aliança;Fernando Barreto;1961
341;Marcha do Pintinho;Emilinha Borba;1961
342;A Noiva;Angela Maria;1961
343;Ninguém Chora Por Mim;Moacyr Franco;1961
344;O Amor em Paz;João Gilberto;1961
345;Olga;Os Cometas;1961
346;Wheels;String-A-Longs;1961
347;Amor em Paz;João Gilberto;1961
348;Amor Impossível;Carlos Nobre;1961
349;Cadeira Vazia;Elza Soares;1961
350;Dinah;Clério Morais;1961
351;Abismo de Rosas;Dilermando Reis;1961
352;Ironia;Carlos Nobre;1961
353;Apache;The Shadows;1961
354;Ciúme em Tudo;Orlando Dias;1961
355;Justiça de Deus;Leila Silva;1961
356;Lágrimas de Palhaço;Osny Silva;1961
357;Never On Sunday;Don Costa;1961
358;Paciência;Osny Silva;1961
359;Greenfields;Cantores de Ébano;1961
360;Maria Chiquinha;Sônia Mamede;1961
361;Poema das Mãos;Moacyr Franco;1961
362;Leva Eu Sodade;Nilo Amaro & Os Cantores de Ébano;1961
363;Run Samson Run;Neil Sedaka;1961
364;Saudade;Dalva de Oliveira;1961
365;Louco Por Você;Roberto Carlos;1961
366;A Lua é dos Namorados;Angela Maria;1961
367;O Bom Menino;Carequinha;1961
368;Abaixo de Adeus;Jorge Veiga;1961
369;Amargo Retorno;Trio Cristal;1961
370;Seria Tão Diferente;Núbia Lafayette;1961
371;Analfabeta em Amor;Ellen de Lima;1961
372;Não Sabemos;Leila Silva;1961
373;As Folhas Verdes;Wilma Bentivegna;1961
374;Quero Morrer no Carnaval;Linda Batista;1961
375;Devolvi;Núbia Lafayette;1961
376;Ave-Maria;Dalva de Oliveira;1961
377;Me Leva Pro Céu;Emilinha Borba;1961
378;Não Me Envergonho;Osny Silva;1961
379;Zé Bonitinho;Jorge Loredo;1961
380;Beija-me Depois;Anísio Silva;1961
381;Deixa-me Andar;Elizeth Cardoso;1961
382;Rock do Ratinho;Carequinha;1961
383;Borrasca;Angela Maria;1961
384;Boudah;The Jordans;1961
385;Minhas Namoradas;Cauby Peixoto;1961
386;Save The Last Dance For Me;Ronnie Lummer;1961
387;Rock do Saci;Demétrius;1961
388;Alma de Boêmio;José Orlando;1961
389;Cansei de Rock;Nora Ney;1961
390;Eu Já Te Vi;Rogéria;1961
391;Castiguei;Altamiro Carrilho;1961
392;My Love For You;Johnny Mathis;1961
393;Chega;Carlos Augusto;1961
394;Hey Mama;Celly Campello;1961
395;Fica Comigo Esta Noite;Nelson Gonçalves;1961
396;Per Omnia Secula;Carminha Nascimento;1961
397;Triste Regresso;Léo Belico;1961
398;Não Sou de Nada;Fernando Costa;1961
399;Poema das Mãos;João Dias;1961
400;Não Deixe a Peteca Cair;Trio Irakitan;1961
401;O Trovador de Toledo;Gilda Lopes;1962
402;Prelúdio Para Ninar Gente Grande (Menino Passarinho);Luiz Vieira;1962
403;Let's Twist Again;Chubby Checker;1962
404;Fica Comigo Esta Noite;Nelson Gonçalves;1962
405;Estão Voltando As Flores;Helena de Lima;1962
406;Leva Eu Sodade;Nilo Amaro & Os Cantores de Ébano;1962
407;Suave é a Noite;Moacyr Franco;1962
408;Multiplication;Bobby Darin;1962
409;Tu Sabes;Martha Mendonça;1962
410;A Mesma Rosa Amarela;Conjunto Farroupilha;1962
411;Amor;Rinaldo Calheiros;1962
412;Meu Querido Lindo;Moacyr Franco;1962
413;Quem é;Silvinho;1962
414;Palavras de Amor;Alcides Gerardi;1962
415;Peppermint Twist;Joey Dee & The Starlites;1962
416;Poema;Renato Guimarães;1962
417;Rancho das Flores;Coral do Corpo de Bombeiros;1962
418;Midnight In Moscow;Kenny Ball & His Jazzmen;1962
419;The Wanderer;Dion;1962
420;Escândalo;Cauby Peixoto;1962
421;Rock-A Hula Baby;Elvis Presley;1962
422;Quem Eu Quero;Raul Sampaio;1962
423;Stella By Starlight;Ray Charles;1962
424;Seria Tão Diferente;Núbia Lafayette;1962
425;Al-Di-Lá;Emilio Pericoli;1962
426;Ele é Engraxate;José Leão;1962
427;Garota Solitária;Angela Maria;1962
428;Lembranças;Carlos José;1962
429;Las Secretarias;Harold Nicholas;1962
430;Amargura;Ellen de Lima;1962
431;Ya Ya;Joey Dee & The Starliters;1962
432;Brasil Bi-Campeão;Os Pequenos Cantores;1962
433;Meu Nome é Ninguém;Miltinho;1962
434;Moon River;Henry Mancini;1962
435;The Twist;Chubby Checker;1962
436;Domingo de Sol;Sergio Murilo;1962
437;Stranger On The Shore;Mr. Acker Bilk;1962
438;Esta Noite Ou Nunca;Carlos Augusto;1962
439;Duas Taças;Mário Alves;1962
440;Oba;Osvaldo Nunes;1962
441;Breaking Up Is Hard To Do;Neil Sedaka;1962
442;O Que é Que Eu Faço;Leila Silva;1962
443;Amor em Serenata;Carlos Nobre;1962
444;Las Secretarias;Rui Rey;1962
445;Eu Sonhei Que Tu Estavas Tão Linda;Carlos Galhardo;1962
446;Por Que Estás Enamorado;Edith Veiga;1962
447;Canção da Tristeza;Vanja Orico;1962
448;Speedy Gonzales;Pat Boone;1962
449;Come September;Billy Vaughn;1962
450;Eu Que Amo Somente a Ti;José Ricardo;1962
451;Malena;Roberto Carlos;1962
452;Eu Sei;Rosemary & Os Cometas;1962
453;Palavras de Amor;Roberto Silva;1962
454;Mona Lisa;Cyro Aguiar;1962
455;Garota Solitária;Celly Campello;1962
456;Porteiro, Suba e Diga;João Dias;1962
457;E a Vida Continua;Agnaldo Rayol;1962
458;Dois Amores;Nelson Gonçalves;1962
459;Gente Maldosa;Lucienne Franco;1962
460;Meu Ex-Amor;Angela Maria;1962
461;Dança dos Brotos;Rosemary;1962
462;Amor em Cha-Cha-Cha;Fernando Costa;1962
463;Cabelos Brancos;Silvio Caldas;1962
464;O Pranto da Chuva;Carlos Nobre;1962
465;Baby Elephant's Walk;Lawrence Welk;1962
466;Parceria Com a Saudade;Carlos Nobre;1962
467;Nega do Congo;Valter Levita;1962
468;Tu és o Maior Amor da Minha Vida;Silvinho;1962
469;A Lua é Camarada;Angela Maria;1962
470;Beijo Roubado;Angela Maria;1962
471;Can't Help Falling In Love;Elvis Presley;1962
472;Juntinhos é Melhor;Emilinha Borba;1962
473;Crying In The Rain;The Everly Brothers;1962
474;Vou Ter Um Troço;Jackson do Pandeiro;1962
475;Sherry;Four Seasons;1962
476;Dream Baby;Roy Orbison;1962
477;Contradizendo;Carlos Nobre;1962
478;Eu Já Fiz Tudo;Anísio Silva;1962
479;Norman;Sue Thompson;1962
480;Filho Bom;Luiz de Andrade;1962
481;Quando Setembro Vier;Billy Vaughn;1962
482;Lição de Twist;Conjunto Alvorada & Meire Pavão;1962
483;Influência do Jazz;Carlos Lyra;1962
484;Pepe;Duane Eddy;1962
485;Happy Birthday, Sweet Sixteen;Neil Sedaka;1962
486;Castigo, Meu Amor;Emilinha Borba;1962
487;Hey! Baby;Bruce Channel;1962
488;Onde Estás Coração;Rinaldo Calheiros & Silvana;1962
489;Não Conte Pra Ninguém;Ana Shirley;1962
490;Sonhar Contigo;Adilson Ramos;1962
491;I Know;Barbara George;1962
492;Garota de Saint-Tropez;Jorge Veiga;1962
493;Segredo;Rosana Toledo;1962
494;Johnny Angel;Shelley Fabares;1962
495;O Arlequim de Toledo;Angela Maria;1962
496;Estou Louco;Baby Santiago;1962
497;Contando os Dias;Marco Antonio;1962
498;O Barquinho;Walter Wanderley;1962
499;O Rei do Gatilho;Moreira da Silva;1962
500;Love Letters;Ketty Lester;1962
501;Mas Que Nada;Jorge Ben;1963
502;Sonhar Contigo;Adilson Ramos;1963
503;Volta Por Cima;Noite Ilustrada;1963
504;I Can't Stop Loving You;Ray Charles;1963
505;Chove Chuva;Jorge Ben;1963
506;Tudo de Mim;Altemar Dutra;1963
507;Hava Nagila;Chubby Checker;1963
508;Balanço Zona Sul;Tito Madi;1963
509;Enigma;Nelson Gonçalves;1963
510;Filme Triste;Trio Esperança;1963
511;Splish Splash;Roberto Carlos;1963
512;Amor Sincero;Silvinho;1963
513;Tem Bobo Pra Tudo;Alcides Gerardi;1963
514;O Passo do Elefantinho;Trio Esperança;1963
515;Blame It On The Bossa Nova;Eydie Gormé;1963
516;Afrikan Beat;Bert Kaempfert;1963
517;Uirapuru;Nilo Amaro & Os Cantores de Ébano;1963
518;Boogie do Bebê;Tony Campello;1963
519;O Maior Amor;Silvinho;1963
520;Na Cadência do Samba;Elizeth Cardoso;1963
521;Roberta;Peppino Di Capri;1963
522;The End Of The World;Skeeter Davis;1963
523;I Will Follow Him (Chariot);Little Peggy March;1963
524;O Morro Não Tem Vez;Jair Rodrigues;1963
525;Paz do Meu Amor;Luiz Vieira;1963
526;Sukiyaki;Kyu Sakamoto;1963
527;Garota de Ipanema;Pery Ribeiro;1963
528;Bolinha de Sabão;Sônia Delfino;1963
529;Chariot;Lana Bittencourt;1963
530;Baby Elephant's Walk;Lawrence Welk;1963
531;Rio;Os Cariocas;1963
532;Ave Maria dos Namorados;Cauby Peixoto;1963
533;O Trovador de Toledo;Gilda Lopes;1963
534;Se a Vida Fosse Um Sonho;Orlando Dias;1963
535;A Hora do Amor;Gilda Lopes;1963
536;Go Away Little Girl;Steve Lawrence;1963
537;Amor Ingrato;Silvinho;1963
538;Papa-Oom-Mow-Mow;Rivingtons;1963
539;Não Diga Nada;Joelma;1963
540;O Prisioneiro;Jorge Goulart;1963
541;Serenata da Chuva;Carlos Nobre;1963
542;Baby Sittin' Boogie;Buzz Clifford;1963
543;Deixa;Cyro Monteiro;1963
544;Baby Sittin' Boogie;Ralf Bendix;1963
545;Wipe Out;The Surfaris;1963
546;Samba do Avião;Os Cariocas;1963
547;Eu Que Amo Somente a Ti;José Ricardo;1963
548;Caixinha de Segredo;Rômulo Alencar;1963
549;Franqueza;Dalva de Oliveira;1963
550;Love Me With All Your Heart;Ray Charles Singers;1963
551;E O Bicho Não Deu;Emilinha Borba;1963
552;Nos Braços da Saudade;Carlos Nobre;1963
553;Doce Amargura;Moacyr Franco;1963
554;Papai Walt Disney;Conjunto Farroupilha;1963
555;Blue Velvet;Bobby Vinton;1963
556;Ela é Carioca;Os Cariocas;1963
557;Pergunte ao Coração;Jorge Goulart;1963
558;Hey Paula;Paul & Paula;1963
559;O Último a Saber;Dircinha Batista;1963
560;Sabor de Sal;Ed Wilson;1963
561;Days Of Wine And Roses;Henry Mancini;1963
562;Resto de Saudade;Carlos Nobre;1963
563;Our Day Will Come;Ruby & The Romantics;1963
564;Samba em Prelúdio;Vinicius de Moraes & Odete Lara;1963
565;Foi Assim;Jamelão;1963
566;Volta Pra Casa;Noite Ilustrada;1963
567;Saudade Em Cada Adeus;Carlos Nobre;1963
568;Tem Bobo Pra Tudo;Isaura Garcia;1963
569;A Lua é Camarada;Angela Maria;1963
570;Abraça-me;Anísio Silva;1963
571;Canção do Fim;Moacyr Franco;1963
572;Olha a Polícia;Nhá Barbina;1963
573;Perdidamente Te Amarei;Joelma;1963
574;All Alone Am I;Brenda Lee;1963
575;Ave Maria dos Namorados;Anísio Silva;1963
576;Bolinha de Sabão;Orlan Divo;1963
577;It's My Party;Lesley Gore;1963
578;Baby Elephant's Walk;Henry Mancini;1963
579;Big Girls Don't Cry;Four Seasons;1963
580;Gostoso é Sambar;Doris Monteiro;1963
581;Cuando Calienta El Sol;Antonio Pietro;1963
582;Aprendiz de Feiticeiro;Angela Maria;1963
583;Sabe Deus;Carlos Alberto;1963
584;Dona Maria Tereza;Juca Chaves;1963
585;Let's Dance;Chris Montez;1963
586;Madrugada;Dora Lopez;1963
587;Samba de Uma Nota Só;Radamés Gnatalli;1963
588;Só Danço Samba;Elza Soares;1963
589;Foi Deus;Gilda Valença;1963
590;Vigésimo Andar;Albert Pavão;1963
591;The Guns Of Navarone;Joe Reisman;1963
592;Marcha da Condução;José Messias;1963
593;Al Di La;Emilio Pericoli;1963
594;Gina;Johnny Mathis;1963
595;Dancin' Party;Chubby Checker;1963
596;Para Sempre Adorar;Paulo Marques;1963
597;Metade Homem;Valter Levita;1963
598;Fascination;Leny Eversong;1963
599;Esta Noite Eu Queria;Silvinho;1963
600;Boneca de Doce;Paulo Ricardo;1963
601;Datemi Un Martello;Rita Pavone;1964
602;I Want To Hold Your Hand;Beatles;1964
603;Rua Augusta;Ronnie Cord;1964
604;O Ritmo da Chuva;Demetrius;1964
605;Please Please Me;Beatles;1964
606;She Loves You;Beatles;1964
607;Dominique;Giane;1964
608;Parei na Contramão;Roberto Carlos;1964
609;Can't Buy Me Love;Beatles;1964
610;Que Queres Tu de Mim;Altemar Dutra;1964
611;Doce Amargura;Moacyr Franco;1964
612;Bigorrilho;Jorge Veiga;1964
613;Deixa Isso Pra Lá;Jair Rodrigues;1964
614;Acorrentados;Agnaldo Rayol;1964
615;Love Me Do;Beatles;1964
616;É Proibido Fumar;Roberto Carlos;1964
